Jun 14 19:47:42 haianh kernel: [24620.042442] Firewall: *Port Flood* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=36700 PROTO=TCP SPT=17829 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:42 haianh kernel: [24620.042455] Firewall: *SYNFLOOD Blocked* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=36571 PROTO=TCP SPT=17830 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:44 haianh kernel: [24622.042429] Firewall: *Port Flood* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=2267 PROTO=TCP SPT=64441 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:44 haianh kernel: [24622.042442] Firewall: *SYNFLOOD Blocked* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=32836 PROTO=TCP SPT=64442 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:46 haianh kernel: [24624.042464] Firewall: *Port Flood* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=4380 PROTO=TCP SPT=51766 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:46 haianh kernel: [24624.042476] Firewall: *SYNFLOOD Blocked* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=6864 PROTO=TCP SPT=51767 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:46 haianh kernel: [24624.122935] Firewall: *UDP_OUT Blocked* IN= OUT=eth0 SRC=192.168.133.129 DST=192.168.133.254 LEN=328 TOS=0x00 PREC=0x00 TTL=64 ID=28284 DF PROTO=UDP SPT=68 DPT=67 LEN=308 UID=0 GID=0 
Jun 14 19:47:48 haianh kernel: [24626.042466] Firewall: *Port Flood* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=17961 PROTO=TCP SPT=40885 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:48 haianh kernel: [24626.042477] Firewall: *SYNFLOOD Blocked* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=27166 PROTO=TCP SPT=40886 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:50 haianh kernel: [24628.042430] Firewall: *Port Flood* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=55280 PROTO=TCP SPT=34652 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:50 haianh kernel: [24628.042442] Firewall: *SYNFLOOD Blocked* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=5230 PROTO=TCP SPT=34653 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:52 haianh kernel: [24630.042443] Firewall: *Port Flood* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=34370 PROTO=TCP SPT=27494 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:52 haianh kernel: [24630.042468] Firewall: *SYNFLOOD Blocked* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=45269 PROTO=TCP SPT=27495 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
